community_id	evo_hist	strainID	target_f
P01	anc	HAMBI_0403	0.9
P01	anc	HAMBI_1977	0.1
P02	anc	HAMBI_0403	0.9
P02	evo	HAMBI_1977	0.1
P03	anc	HAMBI_0403	0.9
P03	anc	HAMBI_1896	0.1
P04	anc	HAMBI_0403	0.9
P04	evo	HAMBI_1896	0.1
P05	anc	HAMBI_0403	0.9
P05	anc	HAMBI_1287	0.1
P06	anc	HAMBI_0403	0.9
P06	evo	HAMBI_1287	0.1
P07	evo	HAMBI_0403	0.9
P07	anc	HAMBI_1977	0.1
P08	evo	HAMBI_0403	0.9
P08	evo	HAMBI_1977	0.1
P09	evo	HAMBI_0403	0.9
P09	anc	HAMBI_1896	0.1
P10	evo	HAMBI_0403	0.9
P10	evo	HAMBI_1896	0.1
P11	evo	HAMBI_0403	0.9
P11	anc	HAMBI_1287	0.1
P12	evo	HAMBI_0403	0.9
P12	evo	HAMBI_1287	0.1
P13	anc	HAMBI_1287	0.9
P13	anc	HAMBI_1977	0.1
P14	anc	HAMBI_1287	0.9
P14	evo	HAMBI_1977	0.1
P15	anc	HAMBI_1287	0.9
P15	anc	HAMBI_1896	0.1
P16	anc	HAMBI_1287	0.9
P16	evo	HAMBI_1896	0.1
P17	evo	HAMBI_1287	0.9
P17	anc	HAMBI_1977	0.1
P18	evo	HAMBI_1287	0.9
P18	evo	HAMBI_1977	0.1
P19	evo	HAMBI_1287	0.9
P19	anc	HAMBI_1896	0.1
P20	evo	HAMBI_1287	0.9
P20	evo	HAMBI_1896	0.1
P21	anc	HAMBI_1896	0.9
P21	anc	HAMBI_1977	0.1
P22	anc	HAMBI_1896	0.9
P22	evo	HAMBI_1977	0.1
P23	evo	HAMBI_1896	0.9
P23	anc	HAMBI_1977	0.1
P24	evo	HAMBI_1896	0.9
P24	evo	HAMBI_1977	0.1
P25	anc	HAMBI_0403	0.1
P25	anc	HAMBI_1977	0.9
P26	anc	HAMBI_0403	0.1
P26	evo	HAMBI_1977	0.9
